nom_reservatorio;tip_reservatorio;cod_resplanejamento;cod_posto;nom_usina;ceg;id_subsistema;nom_subsistema;nom_bacia;nom_rio;nom_ree;dat_entrada;val_cotamaxima;val_cotaminima;val_volmax;val_volmin;val_volutiltot;val_produtibilidadeespecifica;val_produtividade65volutil;val_tipoperda;val_perda;val_latitude;val_longitude;res_id
MANSO;RESERVATÓRIO COM USINA;278;278;MANSO;UHE.PH.MT.001401-0.01;SE;SUDESTE/CENTRO-OESTE;PARAGUAI;MANSO;SUDESTE;2001-02-02;287.000;278.000;7337.000;4386.000;2951.000;0.008598;0.508;m;0.49;-14.87138889;-55.78361111;PYUSMS
MARIMBONDO;RESERVATÓRIO COM USINA;17;17;MARIMBONDO;UHE.PH.MG.001417-6.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1975-04-01;446.300;426.000;6150.000;890.000;5260.000;0.00907;0.5183;m;0.82;-20.30388889;-49.19277778;GRMARI
MASCARENHAS;FIO DAGUA;144;144;MASCARENHAS;UHE.PH.ES.001432-0.01;SE;SUDESTE/CENTRO-OESTE;DOCE;DOCE;SUDESTE;1973-09-21;60.750;59.500;21.850;17.810;4.040;0.008953;0.1989;m;0.17;-19.5;-40.92;DCMASC
MIRANDA;RESERVATÓRIO COM USINA;26;206;MIRANDA;UHE.PH.MG.001469-9.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;ARAGUARI-MG;PARANA;1998-05-29;696.000;693.000;1120.000;974.000;145.600;0.008834;0.6195;m;0.72;-18.91166667;-48.03916667;ARMIRA
MONJOLINHO;FIO DAGUA;94;220;MONJOLINHO;UHE.PH.RS.028562-5.01;S;SUL;URUGUAI;PASSO FUNDO;SUL;2009-09-01;328.500;326.500;150.480;150.480;10.980;0.008795;0.54;m;1.67;-27.34416667;-52.73111111;RIUHMO
MONTE CLARO;FIO DAGUA;98;97;MONTE CLARO;UHE.PH.RS.027968-4.01;S;SUL;JACUI;TAQUARI-ANTAS;SUL;2004-12-29;148.000;147.000;11.280;10.100;1.450;0.008916;0.3541;m;1.39;-29.02361111;-51.53222222;JIUHMC
N. AVANHANDAVA;FIO DAGUA;42;242;NOVA AVANHANDAVA;UHE.PH.SP.001552-0.01;SE;SUDESTE/CENTRO-OESTE;TIETE;TIETÊ;PARANA;1982-04-01;357.990;356.000;2720.000;2720.000;378.000;0.009087;0.2784;m;0.43;-21.11694444;-50.20175;TINAVA
NILO PEÇANHA;FIO DAGUA;131;131;NILO PEÇANHA;UHE.PH.RJ.001536-9.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;RIBEIRÃO LAJE;SUDESTE;1953-04-01;399.000;399.000;38.000;38.000;1.000;0.008729;2.6871;m;3.6;-22.68305556;-43.87333333;RLNPEC
NOVA PONTE;RESERVATÓRIO COM USINA;25;25;NOVA PONTE;UHE.PH.MG.001574-1.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;PARANAÍBA;PARANA;1994-12-07;815.000;775.500;12792.000;2412.000;10380.000;0.008978;0.9669;m;1.68;-19.13111111;-47.69361111;PRNPON
OURINHOS;FIO DAGUA;249;249;OURINHOS;UHE.PH.SP.027872-6.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;2005-04-16;398.000;397.500;20.820;18.680;2.140;0.008686;0.0962;m;0.09;-23.06777778;-49.8375;PPORI 
P. AFONSO 1,2,3;FIO DAGUA;174;174;PAULO AFONSO I;UHE.PH.BA.002012-5.01;NE;NORDESTE;SAO FRANCISCO;SÃO FRANCISCO;NORDESTE;1955-01-31;230.300;228.300;26.000;26.000;9.800;0.008792;0.38;%;1.08;-9.395833333;-38.20361111;SFP123
P. AFONSO 1,2,3;FIO DAGUA;174;174;PAULO AFONSO III;UHE.PH.BA.027049-0.01;NE;NORDESTE;SAO FRANCISCO;SÃO FRANCISCO;NORDESTE;1971-04-30;230.300;228.300;26.000;26.000;9.800;0.008792;0.38;%;1.08;-9.395833333;-38.20361111;SFP123
P. AFONSO 1,2,3;FIO DAGUA;174;174;PAULO AFONSO II;UHE.PH.BA.027048-2.01;NE;NORDESTE;SAO FRANCISCO;SÃO FRANCISCO;NORDESTE;1961-04-30;230.300;228.300;26.000;26.000;9.800;0.008792;0.38;%;1.08;-9.395833333;-38.20361111;SFP123
P. AFONSO 4;FIO DAGUA;175;175;PAULO AFONSO IV;UHE.PH.BA.027050-4.01;NE;NORDESTE;SAO FRANCISCO;SÃO FRANCISCO;NORDESTE;1969-04-30;252.000;250.000;1277.000;1068.000;209.000;0.009086;0.5439;m;0.85;-9.415833333;-38.21055556;SFPAF4
P. COLOMBIA;FIO DAGUA;12;12;PORTO COLÔMBIA;UHE.PH.MG.002117-2.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1973-03-01;467.200;465.500;1524.000;1524.000;233.500;0.009071;0.2012;m;0.23;-20.12694444;-48.56583333;GRPCOL
PARAIBUNA;RESERVATÓRIO COM USINA;121;121;PARAIBUNA;UHE.PH.SP.027122-5.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;PARAÍBA SUL;SUDESTE;1978-01-02;714.000;694.600;4732.000;2096.000;2636.150;0.008702;0.7007;m;2.14;-23.41;-45.60055556;PBPARA
PARANAPANEMA;FIO DAGUA;53;53;PARANAPANEMA;UHE.PH.SP.001972-0.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1957-01-01;504.770;504.700;12.290;12.170;0.120;0.008389;0.1275;m;0.54;-23.18781;-49.38451;PPPRNP
PASSO FUNDO;RESERVATÓRIO COM USINA;93;93;PASSO FUNDO;UHE.PH.RS.002001-0.01;S;SUL;URUGUAI;PASSO FUNDO;SUL;1973-03-21;598.000;584.000;1589.000;185.000;1404.610;0.008805;2.2252;m;6.07;-27.55388889;-52.74083333;PFPFUN
PASSO REAL;RESERVATÓRIO COM USINA;111;111;PASSO REAL;UHE.PH.RS.002003-6.01;S;SUL;JACUI;JACUÍ;SUL;1973-01-01;327.000;300.000;3646.000;289.000;3356.800;0.009048;0.3682;m;0.7;-29.01527778;-53.18722222;JIPREA
PASSO SAO JOAO;FIO DAGUA;102;103;PASSO SÃO JOÃO;UHE.PH.RS.029456-0.01;S;SUL;URUGUAI;IJUI;SUL;2012-03-24;128.350;127.350;102.400;83.905;18.495;0.008935;0.2545;m;0.37;-28.14083333;-55.05194444;RIUHPJ
PEDRA DO CAVALO;RESERVATÓRIO COM USINA;189;254;PEDRA DO CAVALO;UHE.PH.BA.028565-0.01;NE;NORDESTE;PARAGUACU;PARAGUACU;NORDESTE;2004-12-16;114.500;106.000;3134.000;2192.000;942.000;0.00892;0.9483;m;1.35;-12.5825;-39.00194444;PGUCV 
PEIXE ANGICAL;RESERVATÓRIO COM USINA;257;257;PEIXE ANGICAL;UHE.PH.TO.028353-3.01;SE;SUDESTE/CENTRO-OESTE;TOCANTINS;TOCANTINS;SUDESTE;2006-06-27;263.000;261.000;2741.000;2212.700;526.820;0.009041;0.2408;m;0.43;-12.2375;-48.38305556;TOUHPA
PEREIRA PASSOS;FIO DAGUA;133;306;PEREIRA PASSOS;UHE.PH.RJ.002043-5.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;RIBEIRÃO LAJE;SUDESTE;1962-04-01;86.500;82.500;17.000;17.000;4.070;0.008602;0.3233;m;0.43;-22.68666667;-43.82527778;RLPPAS
PICADA;FIO DAGUA;126;197;PICADA;UHE.PH.MG.002053-2.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;RIO DO PEIXE;SUDESTE;2006-07-01;659.200;658.700;7.000;6.000;0.550;0.008895;1.1546;m;3.03;-21.88416667;-43.54055556;PBPCDA
PIMENTAL;FIO DAGUA;314;288;PIMENTAL;UHE.PH.PA.030354-2.01;N;NORTE;AMAZONAS;XINGU;BELO MONTE;2016-04-28;97.000;95.500;2276.290;1770.930;505.360;0.008861;0.114;m;0.13;-3.4375;-51.94722222;AMUSPM
PIRAJU;FIO DAGUA;48;48;PIRAJÚ;UHE.PH.SP.002077-0.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;2002-09-12;531.500;531.300;84.000;84.000;3.280;0.009024;0.2306;m;0.3;-23.15333333;-49.38083333;PPPJU 
PONTE DE PEDRA;FIO DAGUA;281;281;PONTE DE PEDRA;UHE.PH.MT.002103-2.01;SE;SUDESTE/CENTRO-OESTE;PARAGUAI;CORRENTES;SUDESTE;2005-07-19;396.000;393.000;199.000;199.000;38.490;0.009168;2.2106;m;2.52;-17.58638889;-54.90722222;PYPP  
PORTO ESTRELA;RESERVATÓRIO COM USINA;135;263;PORTO ESTRELA;UHE.PH.MG.027196-9.01;SE;SUDESTE/CENTRO-OESTE;DOCE;DOCE;SUDESTE;2001-09-04;255.000;246.000;89.000;56.000;33.120;0.008977;0.4593;m;0.41;-19.11472222;-42.66305556;DCPORT
PORTO PRIMAVERA;FIO DAGUA;46;246;PORTO PRIMAVERA;UHE.PH.SP.002127-0.01;SE;SUDESTE/CENTRO-OESTE;PARANA;PARANÁ;PARANA;1999-01-23;259.000;257.000;20001.000;15707.000;4294.000;0.008928;0.1754;m;0.43;-22.47472222;-52.95222222;PNPPRI
PROMISSÃO;RESERVATÓRIO COM USINA;40;240;PROMISSÃO;UHE.PH.SP.002158-0.01;SE;SUDESTE/CENTRO-OESTE;TIETE;TIETÊ;PARANA;1975-03-01;384.000;379.700;7408.000;5280.000;2127.300;0.008798;0.213;m;0.37;-21.29680556;-49.78341667;TIPROM
QUEBRA QUEIXO;RESERVATÓRIO COM USINA;95;286;QUEBRA QUEIXO;UHE.PH.SC.002167-9.01;S;SUL;URUGUAI;CHAPECO;SUL;2003-12-23;549.000;544.000;137.000;111.000;25.510;0.008718;1.035;m;2.16;-26.66777778;-52.55472222;RIUQQX
QUEIMADO;RESERVATÓRIO COM USINA;162;158;QUEIMADO;UHE.PH.MG.002176-8.01;SE;SUDESTE/CENTRO-OESTE;SAO FRANCISCO;RIO PRETO;SUDESTE;2004-04-09;829.000;811.000;557.000;95.250;389.460;0.008911;1.6404;m;2.47;-16.21138889;-47.32527778;SFQMDO
RETIRO BAIXO;RESERVATÓRIO COM USINA;155;155;RETIRO BAIXO;UHE.PH.MG.029457-8.01;SE;SUDESTE/CENTRO-OESTE;SAO FRANCISCO;PARAOPEBA;SUDESTE;2010-03-03;616.000;614.000;241.590;200.720;41.610;0.00896;0.3346;m;0.55;-18.89444444;-44.78166667;SFUHRB
RONDON II;RESERVATÓRIO COM USINA;276;145;RONDON II;UHE.PH.RO.027448-8.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;JI-PARANA;MADEIRA;2011-03-31;268.000;264.000;478.290;192.170;286.120;0.008721;0.5244;m;1.76;-11.99722222;-60.69722222;AMUHRD
ROSAL;FIO DAGUA;217;196;ROSAL;UHE.PH.ES.002553-4.01;SE;SUDESTE/CENTRO-OESTE;ITABAPOANA;ITABAPOANA;SUDESTE;2000-01-17;555.000;550.000;11.000;11.000;7.000;0.008881;1.6903;m;3.89;-20.91666667;-41.72166667;ITRSL 
ROSANA;FIO DAGUA;63;63;ROSANA;UHE.PH.SP.002555-0.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1987-06-11;258.000;256.000;1918.000;1918.000;407.560;0.009101;0.1841;m;0.24;-22.60222222;-52.86861111;PPROSA
S.DO FACÃO;RESERVATÓRIO COM USINA;21;251;SERRA DO FACÃO;UHE.PH.GO.028355-0.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;SAO MARCOS;PARANA;2010-07-13;756.000;732.500;5199.000;1752.000;3474.200;0.008762;0.6489;m;0.69;-18.04555556;-47.67555556;PNUHSF
S.R.VERDINHO;FIO DAGUA;241;241;SALTO DO RIO VERDINHO;UHE.PH.GO.028760-1.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;VERDE;PARANA;2010-07-06;370.500;369.500;394.340;352.480;41.860;0.008752;0.3742;m;0.58;-19.14555556;-50.76722222;PNSV  
SA CARVALHO;FIO DAGUA;193;183;SÁ CARVALHO;UHE.PH.MG.002563-1.01;SE;SUDESTE/CENTRO-OESTE;DOCE;PIRACICABA;SUDESTE;2001-04-01;372.930;371.430;1.860;1.300;0.560;0.008649;0.9364;m;7.82;-19.64583333;-42.85;DCSCAR
SALTO;FIO DAGUA;262;294;SALTO;UHE.PH.GO.028758-0.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;VERDE;PARANA;2010-05-25;446.500;445.500;826.060;767.660;58.400;0.008879;0.4502;m;0.68;-18.8075;-51.17111111;PNST  
SALTO APIACAS;FIO DAGUA;225;225;SALTO APIACÁS;UHE.PH.MT.031401-3.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;APIACAS;TELES PIRES;2016-09-17;247.500;247.500;2.080;2.080;0.000;0.008662;0.2218;m;0.89;-10.3386;-56.9821;AMSAPI
SALTO CAXIAS;FIO DAGUA;82;222;GOV. JOSÉ RICHA;UHE.PH.PR.002591-7.01;S;SUL;IGUACU;IGUAÇU;IGUACU;1999-02-18;325.000;323.000;3573.000;3573.000;272.760;0.008667;0.5596;m;0.8;-25.54083333;-53.49444444;IGSCAX
SALTO GRANDE CM;FIO DAGUA;134;134;SALTO GRANDE (MG);UHE.PH.MG.027210-8.01;SE;SUDESTE/CENTRO-OESTE;DOCE;SANTO ÂNTONIO;SUDESTE;1956-02-28;356.000;346.000;78.000;78.000;47.000;0.008646;0.802;m;4.99;-19.11555556;-42.72;SASGCM
SALTO GRANDE CS;FIO DAGUA;50;50;SALTO GRANDE (SP);UHE.PH.SP.002648-4.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1958-05-31;384.670;381.170;45.000;45.000;29.330;0.008581;0.1483;m;0.23;-22.90194444;-49.99888889;PPSGCS
SALTO OSORIO;FIO DAGUA;78;78;SALTO OSÓRIO;UHE.PH.PR.002659-0.01;S;SUL;IGUACU;IGUAÇU;IGUACU;1975-10-17;397.000;389.000;1124.000;1124.000;402.670;0.008488;0.5747;m;1.59;-25.53694444;-53.00777778;IGSOSO
SALTO PILAO;FIO DAGUA;215;101;SALTO PILÃO;UHE.PH.SC.028564-1.01;S;SUL;ITAJAI;ITAJAI;SUL;2009-12-11;319.000;318.000;0.020;0.010;0.010;0.008916;1.7641;m;7.77;-27.13611111;-49.52027778;IAUHSP
SALTO SANTIAGO;RESERVATÓRIO COM USINA;77;77;SALTO SANTIAGO;UHE.PH.PR.002672-7.01;S;SUL;IGUACU;IGUAÇU;IGUACU;1980-12-31;506.000;481.000;6775.000;2662.000;4112.920;0.009047;0.8921;m;1.92;-25.62777778;-52.60805556;IGSSAN
SAMUEL;RESERVATÓRIO COM USINA;279;279;SAMUEL;UHE.PH.RO.002687-5.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;JAMARI;MADEIRA;1990-12-31;87.400;80.000;3493.440;943.230;2550.200;0.008932;0.2762;m;0.24;-8.751944444;-63.45416667;AMSU  
SANTA BRANCA;RESERVATÓRIO COM USINA;122;122;SANTA BRANCA;UHE.PH.SP.002696-4.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;PARAÍBA SUL;SUDESTE;1999-06-06;622.000;605.000;439.000;131.000;307.270;0.00896;0.3679;m;0.61;-23.37416667;-45.87;PBSTAB
SANTA CECILIA;RESERVATÓRIO COM USINA DE BOMBEAMENTO;125;125;SANTA CECILIA;UHE.PH.RJ.027217-5.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;PARAÍBA SUL;SUDESTE;2000-06-02;352.950;352.950;6.000;6.000;4.350;0.0;0.0;m;0.0;-22.48222222;-43.83888889;PBSTAC
SANTA CLARA-PR;RESERVATÓRIO COM USINA;71;71;SANTA CLARA (PR);UHE.PH.PR.028361-4.01;S;SUL;IGUACU;JORDÃO;IGUACU;2005-07-31;805.000;787.500;431.000;169.000;262.070;0.008985;0.8126;m;2.39;-25.64611111;-51.95611111;IGSCL 
SANTO ANTONIO;FIO DAGUA;287;287;SANTO ANTÔNIO;UHE.PH.RO.029707-0.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;MADEIRA;MADEIRA;2012-03-30;71.300;70.500;2282.800;2077.300;489.870;0.008819;0.1589;m;0.14;-8.801111111;-63.94972222;AMUSSN
SAO DOMINGOS;FIO DAGUA;153;154;SÃO DOMINGOS;UHE.PH.MS.028761-0.01;SE;SUDESTE/CENTRO-OESTE;PARANA;VERDE;PARANA;2013-06-14;345.000;344.000;131.430;112.310;19.120;0.008947;0.3071;m;0.48;-20.08361111;-53.17472222;PNUHSD
SAO JOSE;FIO DAGUA;101;102;SÃO JOSÉ;UHE.PH.RS.029459-4.01;S;SUL;URUGUAI;IJUI;SUL;2011-03-29;154.670;153.670;188.110;165.530;22.580;0.008909;0.1878;m;0.25;-28.17694444;-54.81333333;RIUSJO
SAO MANOEL;FIO DAGUA;230;230;SÃO MANOEL;UHE.PH.PA.031444-7.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;TELES PIRES;TELES PIRES;2017-12-28;161.440;160.000;577.220;490.270;86.950;0.009153;0.2267;m;0.27;-9.189444444;-57.05277778;AMUSMA
SAO ROQUE;RESERVATÓRIO COM USINA;88;88;SÃO ROQUE;UHE.PH.SC.030938-9.01;S;SUL;URUGUAI;CANOAS;SUL;2022-07-21;760.000;746.000;795.670;336.720;458.950;0.008878;0.4335;m;0.6;-27.49777777777;-50.80463888888;RIUHSR
SAO SALVADOR;FIO DAGUA;253;253;SÃO SALVADOR;UHE.PH.TO.028567-6.01;SE;SUDESTE/CENTRO-OESTE;TOCANTINS;TOCANTINS;SUDESTE;2009-08-06;287.000;286.500;952.000;952.000;59.140;0.009024;0.2149;m;0.58;-12.83472222;-48.22472222;TOUHSA
SEGREDO;RESERVATÓRIO COM USINA;76;76;GOV. NEY BRAGA;UHE.PH.PR.002715-4.01;S;SUL;IGUACU;IGUAÇU;IGUACU;1992-09-26;607.000;602.000;2950.000;2562.000;383.680;0.008865;0.904;m;1.65;-25.79222222;-52.11638889;IGSEGR
SERRA DA MESA;RESERVATÓRIO COM USINA;251;270;SERRA DA MESA;UHE.PH.GO.002731-6.01;SE;SUDESTE/CENTRO-OESTE;TOCANTINS;TOCANTINS;SUDESTE;1998-04-17;460.000;417.300;54400.000;11150.000;43250.000;0.009093;1.0404;m;1.25;-13.83416667;-48.30583333;TOSMES
SIMPLICIO;FIO DAGUA;129;126;SIMPLÍCIO;UHE.PH.MG.029458-6.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;PARAÍBA SUL;SUDESTE;2013-06-05;251.500;246.000;14.620;10.580;4.040;0.008865;0.9762;m;1.1;-21.92138889;-42.78972222;PBUSSI
SINOP;RESERVATÓRIO COM USINA;227;227;SINOP;UHE.PH.MT.031428-5.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;TELES PIRES;TELES PIRES;2019-09-17;302.000;292.000;3071.180;1045.210;2025.970;0.009103;0.2431;m;0.31;-11.26294444;-55.45180556;AMSNPE
SOBRADINHO;RESERVATÓRIO COM USINA;169;169;SOBRADINHO;UHE.PH.BA.002755-3.01;NE;NORDESTE;SAO FRANCISCO;SÃO FRANCISCO;NORDESTE;1979-04-30;392.500;380.500;34116.000;5447.000;28669.000;0.008881;0.2449;m;0.17;-9.429722222;-40.83;SFSOBR
SOBRAGI;FIO DAGUA;127;198;SOBRAGI;UHE.PH.MG.002757-0.01;SE;SUDESTE/CENTRO-OESTE;PARAIBA DO SUL;PARAIBUNA;SUDESTE;1998-09-15;437.300;436.400;0.090;0.060;0.030;0.008933;0.7164;m;1.57;-21.98166667;-43.35055556;PUSOBR
STA.CLARA-MG;FIO DAGUA;283;283;SANTA CLARA (MG);UHE.PH.MG.002699-9.01;SE;SUDESTE/CENTRO-OESTE;MUCURI;MUCURI;SUDESTE;2002-02-20;86.000;81.000;150.440;115.990;34.450;0.008712;0.4495;m;0.6;-17.89583333;-40.20333333;MUSCLA
STO ANTONIO DO JARI;FIO DAGUA;286;290;SANTO ANTÔNIO DO JARI;UHE.PH.AP.026792-9.01;N;NORTE;AMAZONAS;JARI;MANAUS-AMAPA;2014-09-17;30.000;29.100;133.390;107.320;26.070;0.00898;0.2315;m;0.29;-0.8675;-52.40555556;AMSAJ 
SUIÇA;FIO DAGUA;145;213;SUÍÇA;UHE.PH.ES.002781-2.01;SE;SUDESTE/CENTRO-OESTE;SANTA MARIA VIT;STA M VITORIA;SUDESTE;1990-12-31;350.000;346.500;0.352;0.094;0.258;0.008795;2.1132;m;10.04;-20.08656;-40.55368;ODUSUI
SÃO SIMÃO;RESERVATÓRIO COM USINA;33;33;SÃO SIMÃO;UHE.PH.GO.002704-9.01;SE;SUDESTE/CENTRO-OESTE;PARANAIBA;PARANAÍBA;PARANA;1978-02-01;401.000;390.500;12540.000;7000.000;5540.000;0.009104;0.6355;m;0.82;-19.01666667;-50.5;PRSSIM
TAQUARUÇU;FIO DAGUA;62;62;TAQUARUÇU;UHE.PH.SP.002821-5.01;SE;SUDESTE/CENTRO-OESTE;PARANAPANEMA;PARANAPANEMA;PARANAPANEMA;1992-12-11;284.000;282.000;677.000;677.000;138.130;0.009054;0.2221;m;0.38;-22.54472222;-51.99583333;PPTAQU
TELES PIRES;FIO DAGUA;229;229;TELES PIRES;UHE.PH.PA.030557-0.01;SE;SUDESTE/CENTRO-OESTE;AMAZONAS;TELES PIRES;TELES PIRES;2015-11-07;220.440;219.940;961.110;890.330;70.780;0.009035;0.5054;m;0.86;-9.351111111;-56.7775;AMUHTP
TRÊS IRMÃOS;RESERVATÓRIO COM USINA;43;243;TRÊS IRMÃOS;UHE.PH.SP.002873-8.01;SE;SUDESTE/CENTRO-OESTE;TIETE;TIETÊ;PARANA;1993-04-01;328.000;323.000;13372.000;9923.000;3447.980;0.008846;0.4025;m;0.83;-20.66861111;-51.29694444;TITIRM
TRÊS MARIAS;RESERVATÓRIO COM USINA;156;156;TRÊS MARIAS;UHE.PH.MG.027113-6.01;SE;SUDESTE/CENTRO-OESTE;SAO FRANCISCO;SÃO FRANCISCO;SUDESTE;1962-02-01;572.500;549.200;19528.000;4250.000;15278.000;0.008717;0.436;m;0.6;-18.2175;-45.26194444;SFTMAR
TUCURUI;RESERVATÓRIO COM USINA;275;275;TUCURUÍ;UHE.PH.PA.002889-4.01;N;NORTE;TOCANTINS;TOCANTINS;NORTE;1984-04-30;74.000;51.600;50275.000;11293.000;38982.400;0.00906;0.5496;m;0.9;-3.834166667;-49.64527778;TOTUCU
VOLTA GRANDE;FIO DAGUA;11;11;VOLTA GRANDE;UHE.PH.SP.003045-7.01;SE;SUDESTE/CENTRO-OESTE;GRANDE;GRANDE;PARANA;1985-01-01;494.870;493.470;2244.000;2244.000;268.000;0.008996;0.2482;m;0.17;-20.03277778;-48.21722222;GRVGRA
XINGO;FIO DAGUA;178;178;XINGÓ;UHE.PH.SE.027053-9.01;NE;NORDESTE;SAO FRANCISCO;SÃO FRANCISCO;NORDESTE;1994-04-30;138.000;137.200;3800.000;3800.000;41.000;0.009014;1.0781;m;0.84;-9.617777778;-37.79694444;SFXING
