id,rede,nome,lat,lon,subbacia,origem,ultimo_dado,qualidade,trecho,rio,distancia_rede_km,distancia_sensor_canal_m,area_montante_km2,nota_distancia,papel_modelo,pesos_chuva_por_subbacia,tempo_chuva_ate_mucum
IANTNI11,wu,Antônio Prado - Linha Gomercindo (612 m),-28.8346,-51.4062,Prata-Turvo,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado,180989,Rio Turvo,129.5590014356499,4063.666830122317,3044.99364144,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IMONTE719,wu,Monte Alegre dos Campos - Capela da Luz (925 m),-28.5849,-50.820499,Alto Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado,68284,Rio Quebra-dentes,234.92556508727114,3419.467598561691,43.45729467,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IMONTE527,wu,Monte Alegre dos Campos - Ranchinho (982 m),-28.643815,-50.711367,Alto Antas,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,158837,Arroio Bagual,246.87697619221154,291.84112458178413,25.73922705,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IVACAR7,wu,Vacaria - Agroban (963 m),-28.496099,-50.9561,Prata-Turvo,SIGMA,2026-09-21T12:52:00-03:00,checagens basicas aprovadas; nao homologado,23344,Rio da Telha,233.19911980651983,4244.089464094954,84.44408364,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
IBENTOGO2,wu,Bento Gonçalves - Cidade Alta (701 m),-29.1703,-51.516102,Baixo Antas,SIGMA,2026-09-21T12:53:00-03:00,checagens basicas aprovadas; nao homologado,205056,Rio Burati,99.49932246789727,4451.685759261024,171.06077124,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
EPAGRI-2416,epagri,EPAGRI - Lagoa Vermelha - BASF (848 m),-28.298889,-51.378178,Prata-Turvo,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado,50171,,225.1978394412331,3516.475104871219,119.51381437,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
EPAGRI-2417,epagri,EPAGRI - Caxias do Sul - BASF (830 m),-29.12927,-51.159296,Alto Antas,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado,250296,Rio Tegas,143.11854573591475,973.9128243168564,47.82028385,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
DCRS-00008,dcrs,DCRS - Nova Roma - Farroupilha (180 m),-29.057501,-51.396099,Alto Antas,SIGMA,2026-09-21T12:57:00-03:00,checagens basicas aprovadas; nao homologado,328138,Rio das Antas,111.25267568943815,351.7320517967646,8249.72563488,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
DCRS-00084,dcrs,DCRS - São Francisco de Paula/Cambará do Sul (865 m),-29.2649,-50.314899,Tainhas,SIGMA,2026-09-21T12:57:00-03:00,checagens basicas aprovadas; nao homologado,90915,Rio Tainhas,339.56263434770466,232.5506100004106,243.6068405,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
DCRS-00110,dcrs,DCRS - Muitos Capões/Lagoa Vermelha (751 m),-28.323299,-51.3368,Prata-Turvo,SIGMA,2026-09-21T12:56:00-03:00,checagens basicas aprovadas; nao homologado,403137,Rio Santa Rita,222.88807631078387,57.29994188663875,360.60830363,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
DCRS-00057,dcrs,DCRS - Cotiporã - Dois Lajeados (110 m),-28.995701,-51.7547,Carreiro,SIGMA,2026-09-21T12:57:00-03:00,checagens basicas aprovadas; nao homologado,174576,Rio Carreiro,48.108455386198294,219.21930281080986,2504.07320587,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
DCRS-00086,dcrs,DCRS - Bom Jesus/Jaquirana (606 m),-28.7988,-50.429798,Alto Antas,SIGMA,2026-09-21T12:57:00-03:00,checagens basicas aprovadas; nao homologado,274095,Arroio dos Moraes,281.5603578249289,343.20627186805683,157.08179039,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
DCRS-00007,dcrs,DCRS - Protásio Alves - Ipê (357 m),-28.738501,-51.4259,Prata-Turvo,SIGMA,2026-09-21T12:57:00-03:00,checagens basicas aprovadas; nao homologado,318506,Rio Turvo,148.4440852071837,215.78130294921263,2860.64525564,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
DCRS-00087,dcrs,DCRS - Antônio Prado/Flores da Cunha (292 m),-28.939899,-51.188499,Alto Antas,SIGMA,2026-09-21T12:57:00-03:00,checagens basicas aprovadas; nao homologado,70955,Rio das Antas,153.5833403982337,331.8889599248726,7438.04646902,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
77788ab5-01bc-43b6-b80d-db4290875b75,davis,David Canabarro - SIMAGRORS054 (825 m),-28.4062,-51.845001,Carreiro,SIGMA,2026-09-21T12:49:00-03:00,checagens basicas aprovadas; nao homologado,304585,Rio São Domingos,173.10205234163047,4019.6072388961466,138.11570367,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
ab46b07e-1acd-489e-b1d8-4b7dbae9efa3,davis,Cambará do Sul (1042 m),-29.06842,-50.01291,Alto Antas,SIGMA,2026-09-21T12:45:00-03:00,checagens basicas aprovadas; nao homologado,23883,Arroio da Reserva,372.5073220034517,1333.6311957148632,102.58306576,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
d622afde-1f48-478c-818d-4640d8f3ca03,davis,Lagoa Vermelha - Boqueirão (858 m),-28.3288,-51.391201,Prata-Turvo,SIGMA,2026-09-21T12:47:00-03:00,checagens basicas aprovadas; nao homologado,403137,Rio Santa Rita,220.39939968967013,4799.911069202688,360.60830363,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
9ea7ec27-3065-4660-a529-07f6bfe5c030,davis,Cambará do Sul (1010 m),-29.04467,-50.02041,Alto Antas,SIGMA,2026-09-21T12:48:00-03:00,checagens basicas aprovadas; nao homologado,23883,Arroio da Reserva,370.0949722610405,74.2583903806208,102.58306576,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
2f8e135d-b70d-426a-b4b0-7bf2d193291c,davis,São José dos Ausentes (1175 m),-28.7689,-49.998501,Alto Antas,SIGMA,2026-09-21T12:49:00-03:00,reinicio ou queda do acumulado diario,328161,Rio das Antas,357.08314149074533,2415.586927425972,57.45044997,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
556cce20-c5c6-4f91-97f9-39f122e1c591,davis,Farroupilha - Vinícola Monte Astral (744 m),-29.146,-51.411999,Alto Antas,SIGMA,2026-09-21T12:48:00-03:00,checagens basicas aprovadas; nao homologado,285418,,118.71654517245842,586.3494643389098,21.4691966,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
3e64f4db-023b-403f-8de0-8c9d815e348b,davis,Muitos Capões (877 m),-28.327999,-51.098499,Prata-Turvo,SIGMA,2026-09-21T12:47:00-03:00,checagens basicas aprovadas; nao homologado,46906,Rio Ituim,241.99670015534326,2048.7569741128655,91.26967839,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
86500000,sgb_cprm,SGB/CPRM - Passo Carreiro (259 m),-28.84888,-51.8325,Carreiro,SIGMA,2026-09-21T12:30:00-03:00,checagens basicas aprovadas; nao homologado,23467,Rio Carreiro,77.34323850475506,8.33968062311273,1825.37050841,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,serie longa ANA: chuva e/ou telemetria,Carreiro: 0.0421,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
86160000,sgb_cprm,SGB/CPRM - Passo Tainhas (634 m),-28.86805,-50.45611,Tainhas,SIGMA,2026-09-21T11:45:00-03:00,checagens basicas aprovadas; nao homologado,434553,Rio Tainhas,274.8089899923489,334.5956715835277,1185.97337737,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,serie longa ANA: chuva e/ou telemetria,Alto Antas: 0.0819; Tainhas: 0.6093,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
86510000,sgb_cprm,SGB/CPRM - Muçum (57 m),-29.16722,-51.86861,Baixo Antas,SIGMA,2026-09-21T12:15:00-03:00,checagens basicas aprovadas; nao homologado,125779,Rio Taquari,0,29.397308751649085,16047.25349959,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,serie longa ANA: chuva e/ou telemetria,Baixo Antas: 0.0780,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
02851044,sgb_cprm,SGB/CPRM - Guaporé (525 m),-28.84444,-51.87916,Carreiro,SIGMA,2026-09-21T12:30:00-03:00,possivel sensor travado: divergencia dos vizinhos,436185,Arroio Barracão,81.51360005904911,1348.0584597402699,37.66095584,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
02851072,sgb_cprm,SGB/CPRM - Ibiraiaras (837 m),-28.38111,-51.63305,Carreiro,SIGMA,2026-09-21T11:45:00-03:00,checagens basicas aprovadas; nao homologado,375403,Rio Carreiro,182.53505981556972,4459.378349192665,187.28596034,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
86472000,sgb_cprm,SGB/CPRM - Linha José Júlio (82 m),-29.09777,-51.69972,Baixo Antas,SIGMA,2026-09-21T12:30:00-03:00,checagens basicas aprovadas; nao homologado,454865,Rio Taquari,37.56500929069928,306.52860034298027,12996.75473116,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,serie longa ANA: chuva e/ou telemetria,Baixo Antas: 0.0809; Carreiro: 0.0094,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
86472600,sgb_cprm,SGB/CPRM - Santa Tereza (74 m),-29.17805,-51.73222,Baixo Antas,SIGMA,2026-09-21T11:45:00-03:00,checagens basicas aprovadas; nao homologado,454841,Rio Taquari,20.503243941828863,578.3259413819585,15927.22600609,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,serie longa ANA: chuva e/ou telemetria,Baixo Antas: 0.2139,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
B859,inmet,INMET - MUCUM (197 m),-29.153611,-51.865278,Baixo Antas,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado,125779,Rio Taquari,2.347680395425192,1038.6305051873849,16047.25349959,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
A840,inmet,INMET - BENTO GONCALVES (639 m),-29.164444,-51.534167,Baixo Antas,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado,66047,Arroio Pedrinho,59.51778211309716,1044.2707309947793,41.05659027,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
B856,inmet,INMET - BOM JESUS (INMET) (1054 m),-28.669444,-50.441944,Alto Antas,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado,46164,Arroio Pinheiro,281.42981247726186,526.1573929309749,151.83467902,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
B858,inmet,INMET - CASCA (602 m),-28.563611,-51.969167,Carreiro,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado,330337,Rio São Domingos,148.6898398271856,5322.948543482237,679.79832813,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
A829,inmet,INMET - SAO JOSE DOS AUSENTES (1229 m),-28.748611,-50.057778,Alto Antas,SIGMA,2026-09-21T10:00:00-03:00,leitura atrasada >90 min,105179,Arroio Pai José,341.6383784898518,2348.6526214256223,39.05573128,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
B817,inmet,INMET - CAXIAS DO SUL - CRIUVA (857 m),-28.874167,-50.975556,Alto Antas,SIGMA,2026-09-21T12:00:00-03:00,checagens basicas aprovadas; nao homologado,415208,Arroio Mulada,194.01958772941256,2912.4182334456204,186.60643724,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
67ad4ee435fc1a62c31c72d3,ambient_weather,Lavoura ,-28.1903,-51.2554,Prata-Turvo,SIGMA,2026-09-21T12:55:00-03:00,checagens basicas aprovadas; nao homologado,199350,Arroio Ligeiro,241.31834630952625,843.173748239594,71.9267681,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
7329,cemaden,CEMADEN - Caxias do Sul - G2-Santa Fé (810 m),-29.12491,-51.17975,Alto Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado,14815,Arroio Maestra,137.2423174877687,1342.09936190907,28.51802695,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
7330,cemaden,CEMADEN - Caxias do Sul - G2-Forqueta (768 m),-29.21434,-51.28252,Alto Antas,SIGMA,2026-09-21T12:10:00-03:00,checagens basicas aprovadas; nao homologado,174180,,130.80308663730776,2979.565793210893,43.38476602,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
7331,cemaden,CEMADEN - Caxias do Sul - G2-Parque dos Pinheiros (836 m),-29.1037,-51.0804,Alto Antas,SIGMA,2026-09-21T12:10:00-03:00,possivel sensor travado: divergencia dos vizinhos,86556,Arroio Faxina,175.90698970747152,2699.931590774098,117.8745277,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
7379,cemaden,CEMADEN - Vacaria - Vila São João (975 m),-28.51772,-50.94647,Alto Antas,SIGMA,2026-09-21T12:40:00-03:00,checagens basicas aprovadas; nao homologado,410853,Arroio Viana,239.13316006869434,3193.8620453854214,83.86037925,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
8928,cemaden,CEMADEN - Serafina Corrêa - Centro (527 m),-28.71022,-51.92982,Carreiro,SIGMA,2026-09-21T12:50:00-03:00,checagens basicas aprovadas; nao homologado,80955,Arroio Feijão Cru,109.33495724121649,564.2082586401651,58.67892384,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
16911,cemaden,CEMADEN - Pinto Bandeira - G2-431454801A (579 m),-29.05177,-51.47598,Baixo Antas,SIGMA,2026-09-21T12:10:00-03:00,reinicio ou queda do acumulado diario; possivel sensor travado: divergencia dos vizinhos,113774,Arroio Jacaré,90.50604927646027,4252.132540935985,36.15491816,Distancia pelo canal desde projecao na linha da microbacia; nao inclui escoamento na encosta.,conferencia espacial SIGMA; nao parametro independente do modelo,,"Nao atribuido por sensor: inclui infiltracao e encosta, alem de propagacao no canal."
